"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1295",26.2,"up",11.449512090526,"success",74,0.1,1.25,30,1,1
"1296",25.8,"up",11.2883569039773,"success",75,0.1,1.25,30,1,1
"1297",25.4,"up",11.1321743361397,"success",76,0.1,1.25,30,1,1
"1298",25.1,"up",10.9845734032042,"success",77,0.1,1.25,30,1,1
"1299",24.7,"up",10.8378065305981,"success",78,0.1,1.25,30,1,1
"1300",24.4,"up",10.699146759778,"success",79,0.1,1.25,30,1,1
"1301",24.1,"up",10.5646699189021,"success",80,0.1,1.25,30,1,1
"1302",23.8,"up",10.4342851833756,"success",81,0.1,1.25,30,1,1
"1303",23.5,"up",10.3078515890319,"success",82,0.1,1.25,30,1,1
"1304",23.2,"up",10.185184276998,"success",83,0.1,1.25,30,1,1
"1305",22.9,"up",10.0661848925598,"success",84,0.1,1.25,30,1,1
"1306",22.6,"up",9.95075028067671,"success",85,0.1,1.25,30,1,1
"1307",22.4,"up",9.8416345301003,"success",86,0.1,1.25,30,1,1
"1308",22.1,"up",9.73275306814802,"success",87,0.1,1.25,30,1,1
"1309",21.9,"up",9.62985340829951,"success",88,0.1,1.25,30,1,1
"1310",21.6,"up",9.52714287157008,"success",89,0.1,1.25,30,1,1
"1311",21.4,"up",9.4300210515151,"success",90,0.1,1.25,30,1,1
"1312",21.2,"up",9.33557738621802,"success",91,0.1,1.25,30,1,1
"1313",21,"up",9.24373469877262,"success",92,0.1,1.25,30,1,1
"1314",20.8,"up",9.15441981564198,"success",93,0.1,1.25,30,1,1
"1315",20.6,"up",9.06753050340252,"success",94,0.1,1.25,30,1,1
"1316",20.4,"up",8.98294550844836,"success",95,0.1,1.25,30,1,1
"1317",20.2,"up",8.90056859500259,"success",96,0.1,1.25,30,1,1
"1318",20,"up",8.82034472320387,"success",97,0.1,1.25,30,1,1
"1319",19.8,"up",8.74222494109012,"success",98,0.1,1.25,30,1,1
"1320",19.6,"up",8.66612370069129,"success",99,0.1,1.25,30,1,1
"1321",19.4,"up",8.59193034723435,"success",100,0.1,1.25,30,1,1
"1322",34.9,"up",14.473183507398,"success",50,0.1,1.5,30,1,1
"1323",33.9,"up",14.1789082809351,"success",51,0.1,1.5,30,1,1
"1324",32.9,"up",13.8833810182909,"success",52,0.1,1.5,30,1,1
"1325",32,"up",13.5969167391375,"success",53,0.1,1.5,30,1,1
"1326",31.1,"up",13.3151576806078,"success",54,0.1,1.5,30,1,1
"1327",30.3,"up",13.0457683270229,"success",55,0.1,1.5,30,1,1
"1328",29.6,"up",12.7891135406184,"success",56,0.1,1.5,30,1,1
"1329",29,"up",12.5452144162808,"success",57,0.1,1.5,30,1,1
"1330",28.3,"up",12.3038755484894,"success",58,0.1,1.5,30,1,1
"1331",27.7,"up",12.0756179282894,"success",59,0.1,1.5,30,1,1
"1332",27.2,"up",11.8598816504544,"success",60,0.1,1.5,30,1,1
"1333",26.7,"up",11.6517175166723,"success",61,0.1,1.5,30,1,1
"1334",26.2,"up",11.451037039828,"success",62,0.1,1.5,30,1,1
"1335",25.7,"up",11.2577145740244,"success",63,0.1,1.5,30,1,1
"1336",25.3,"up",11.0754073822705,"success",64,0.1,1.5,30,1,1
"1337",24.8,"up",10.8960154426546,"success",65,0.1,1.5,30,1,1
"1338",24.4,"up",10.7269127444325,"success",66,0.1,1.5,30,1,1
"1339",24.1,"up",10.5674112038059,"success",67,0.1,1.5,30,1,1
"1340",23.7,"up",10.4103007291721,"success",68,0.1,1.5,30,1,1
"1341",23.3,"up",10.2588882398535,"success",69,0.1,1.5,30,1,1
"1342",23,"up",10.1160343319318,"success",70,0.1,1.5,30,1,1
"1343",22.7,"up",9.97824676913891,"success",71,0.1,1.5,30,1,1
"1344",22.4,"up",9.84527010923325,"success",72,0.1,1.5,30,1,1
"1345",22.1,"up",9.71685896681339,"success",73,0.1,1.5,30,1,1
"1346",21.8,"up",9.59287318062656,"success",74,0.1,1.5,30,1,1
"1347",21.5,"up",9.47311166939057,"success",75,0.1,1.5,30,1,1
"1348",21.2,"up",9.35732350573841,"success",76,0.1,1.5,30,1,1
"1349",21,"up",9.24797998820849,"success",77,0.1,1.5,30,1,1
"1350",20.7,"up",9.13966303014844,"success",78,0.1,1.5,30,1,1
"1351",20.5,"up",9.03735282531543,"success",79,0.1,1.5,30,1,1
"1352",20.2,"up",8.93578370620399,"success",80,0.1,1.5,30,1,1
"1353",20,"up",8.83982733965838,"success",81,0.1,1.5,30,1,1
"1354",19.8,"up",8.74687007247781,"success",82,0.1,1.5,30,1,1
"1355",19.6,"up",8.65677555377236,"success",83,0.1,1.5,30,1,1
"1356",19.4,"up",8.5693828126317,"success",84,0.1,1.5,30,1,1
