"","time","R","G","B_V","C_V","initialvalue","p_val","mu_M","R_modifier","alpha_1","infection_length"
"250",24.9,3600985.06250496,563.772075704395,5,0.1,4385.965,1,1,1,1,NA
"251",25,3619972.79924167,560.102050611887,5,0.1,4385.965,1,1,1,1,NA
"252",25.1,3638870.56105957,556.764985021739,5,0.1,4385.965,1,1,1,1,NA
"253",25.2,3657676.55310567,553.809061461084,5,0.1,4385.965,1,1,1,1,NA
"254",25.3,3676389.15299812,551.24499003215,5,0.1,4385.965,1,1,1,1,NA
"255",25.4,3695007.31081226,549.041250201874,5,0.1,4385.965,1,1,1,1,NA
"256",25.5,3713530.72889413,547.134932230469,5,0.1,4385.965,1,1,1,1,NA
"257",25.6,3731959.77978618,545.453571187634,5,0.1,4385.965,1,1,1,1,NA
"258",25.7,3750295.16151934,543.939647700533,5,0.1,4385.965,1,1,1,1,NA
"259",25.8,3768537.45216324,542.568803471791,5,0.1,4385.965,1,1,1,1,NA
"260",25.9,3786686.7256643,541.35547950747,5,0.1,4385.965,1,1,1,1,NA
"261",26,3804742.34477936,540.34446639048,5,0.1,4385.965,1,1,1,1,NA
"262",26.1,3822703.02221454,539.591969367686,5,0.1,4385.965,1,1,1,1,NA
"263",26.2,3840567.12509812,539.143428557966,5,0.1,4385.965,1,1,1,1,NA
"264",26.3,3858333.0773013,539.016221332881,5,0.1,4385.965,1,1,1,1,NA
"265",26.4,3875999.73873561,539.193294631762,5,0.1,4385.965,1,1,1,1,NA
"266",26.5,3893566.62240527,539.629613553229,5,0.1,4385.965,1,1,1,1,NA
"267",26.6,3911033.84387472,540.268630206745,5,0.1,4385.965,1,1,1,1,NA
"268",26.7,3928401.86438722,541.062447540147,5,0.1,4385.965,1,1,1,1,NA
"269",26.8,3945671.10806713,541.988252360415,5,0.1,4385.965,1,1,1,1,NA
"270",26.9,3962841.58260615,543.05519782933,5,0.1,4385.965,1,1,1,1,NA
"271",27,3979912.66960886,544.299553479226,5,0.1,4385.965,1,1,1,1,NA
"272",27.1,3996883.13572827,545.770262908196,5,0.1,4385.965,1,1,1,1,NA
"273",27.2,4013751.36123914,547.510452009195,5,0.1,4385.965,1,1,1,1,NA
"274",27.3,4030515.7070103,549.541718273408,5,0.1,4385.965,1,1,1,1,NA
"275",27.4,4047174.86920741,551.856811402347,5,0.1,4385.965,1,1,1,1,NA
"276",27.5,4063728.10330931,554.423121962297,5,0.1,4385.965,1,1,1,1,NA
"277",27.6,4080175.23349883,557.195386502091,5,0.1,4385.965,1,1,1,1,NA
"278",27.7,4096516.43904392,560.13273164467,5,0.1,4385.965,1,1,1,1,NA
"279",27.8,4112751.91561421,563.213716560927,5,0.1,4385.965,1,1,1,1,NA
"280",27.9,4128881.52195411,566.444005657772,5,0.1,4385.965,1,1,1,1,NA
"281",28,4144904.54426479,569.854015688647,5,0.1,4385.965,1,1,1,1,NA
"282",28.1,4160819.67511377,573.487661216997,5,0.1,4385.965,1,1,1,1,NA
"283",28.2,4176625.18773081,577.386656782139,5,0.1,4385.965,1,1,1,1,NA
"284",28.3,4192319.26638991,581.575898339239,5,0.1,4385.965,1,1,1,1,NA
"285",28.4,4207900.34721871,586.055399490195,5,0.1,4385.965,1,1,1,1,NA
"286",28.5,4223367.36240225,590.801714375528,5,0.1,4385.965,1,1,1,1,NA
"287",28.6,4238719.7755291,595.777939920592,5,0.1,4385.965,1,1,1,1,NA
"288",28.7,4253957.42518158,600.948547621702,5,0.1,4385.965,1,1,1,1,NA
"289",28.8,4269080.20340574,606.293441872381,5,0.1,4385.965,1,1,1,1,NA
"290",28.9,4284087.72291049,611.816216855616,5,0.1,4385.965,1,1,1,1,NA
"291",29,4298979.0601217,617.543595279621,5,0.1,4385.965,1,1,1,1,NA
"292",29.1,4313752.7045173,623.516493174193,5,0.1,4385.965,1,1,1,1,NA
"293",29.2,4328406.69244526,629.776097575463,5,0.1,4385.965,1,1,1,1,NA
"294",29.3,4342938.91439151,636.350203646535,5,0.1,4385.965,1,1,1,1,NA
"295",29.4,4357347.44117082,643.244737784815,5,0.1,4385.965,1,1,1,1,NA
"296",29.5,4371630.78504882,650.443587544105,5,0.1,4385.965,1,1,1,1,NA
"297",29.6,4385787.96461989,657.916601954235,5,0.1,4385.965,1,1,1,1,NA
"298",29.7,4399818.38269528,665.63273485891,5,0.1,4385.965,1,1,1,1,NA
"299",29.8,4413721.53155588,673.573389651096,5,0.1,4385.965,1,1,1,1,NA
"300",29.9,4427496.66357899,681.74112036898,5,0.1,4385.965,1,1,1,1,NA
"301",30,4441142.5227589,690.160472331159,5,0.1,4385.965,1,1,1,1,NA
"302",30.1,4454657.25980489,698.870819715857,5,0.1,4385.965,1,1,1,1,NA
"303",30.2,4468038.53867154,707.913909600702,5,0.1,4385.965,1,1,1,1,NA
"304",30.3,4481283.81442419,717.32079290898,5,0.1,4385.965,1,1,1,1,NA
"305",30.4,4494390.66362628,727.102865317822,5,0.1,4385.965,1,1,1,1,NA
"306",30.5,4507357.05040197,737.250449902501,5,0.1,4385.965,1,1,1,1,NA
"307",30.6,4520181.43719684,747.739328725196,5,0.1,4385.965,1,1,1,1,NA
"308",30.7,4532862.65792231,758.542557473625,5,0.1,4385.965,1,1,1,1,NA
"309",30.8,4545399.6896888,769.643300205235,5,0.1,4385.965,1,1,1,1,NA
